Month,expectation maximization,variance minimization,utility,var as constraint,cvar,multi stage variance minimization,multi stage exp maximization
1,1,1,1,1,1,1,1
2,1.042703,1.084881,1.004793,1.084881,1.075602926,1.059713,1.054496
3,1.047501,1.10103,1.020605,1.101504,1.088682093,1.085576,1.063545
4,1.077347,1.099266,1.106986,1.100649,1.085409296,1.097572,1.105309
5,1.196736,1.163659,1.223396,1.158815,1.157189383,1.168698,1.178308
6,1.164981,1.130052,1.224515,1.126736,1.119337316,1.144474,1.137028
7,1.242632,1.219916,1.314849,1.22123,1.20541844,1.24829,1.215525
8,1.23848,1.225508,1.306409,1.225206,1.210429958,1.251246,1.217946
9,1.255201,1.086628,1.353556,1.055962,1.090977081,1.24987,1.159048
10,1.314413,1.204621,1.393095,1.162326,1.191854771,1.381512,1.254753
11,1.35567,1.210698,1.458896,1.17056,1.204161587,1.3999,1.274919
12,1.479487,1.241988,1.650685,1.204528,1.247548456,1.427031,1.37413
13,1.542904,1.371039,1.613386,1.329634,1.37359519,1.535915,1.475461
14,1.461688,1.341259,1.501624,1.298653,1.337023076,1.497996,1.429953
15,1.429191,1.273805,1.503346,1.236752,1.27759788,1.441844,1.379258
16,1.534583,1.437372,1.490156,1.390404,1.43340183,1.580432,1.411355
