,NSE/RELIANCE,EOD/GS,NSE/MARUTI,EOD/MSFT,NSE/TCS
2017-01-31,1.1845101415996937,1.0817198674341533,1.0047928065487552,0.9896365042536734,1.1060409005291953
2017-02-28,1.2637772675086107,1.0017442874585731,1.0206048267379224,1.0187161639597833,1.0905910844021884
2017-03-31,1.33486414083429,0.9759288330716903,1.1069856215803537,1.0589327146171692,1.0194412054892814
2017-04-30,1.2827210103329507,0.9212454212454212,1.2233956822326844,1.0802784222737818,1.1420755224683827
2017-05-31,1.3203214695752008,0.9676434676434676,1.224515417567969,1.0662026295436968,1.0594447932550004
2017-06-30,1.5453501722158438,0.9826007326007327,1.3148492174576918,1.1245166279969063,1.1174993272939278
2017-07-31,1.5255453501722158,0.9756671899529044,1.3064087882258133,1.156535189481825,1.1195398690465512
2017-08-31,0.7471297359357061,1.0343188557474272,1.3535564321160454,1.1522041763341067,1.092452237868867
2017-09-30,0.9001626482969767,1.0573870573870574,1.393094965432413,1.2866202629543697,1.1767871557987262
2017-10-31,0.8816972828166857,1.0798883656026512,1.458896382067269,1.3019334880123743,1.1826172750919364
2017-11-30,0.8812189054726367,1.1109366823652538,1.6506849896085167,1.3231245166279968,1.2114090949860972
2017-12-31,0.9197282816685801,1.1681929181929183,1.613385926962718,1.4696055684454756,1.39579782940174
2018-01-31,0.9132701875239188,1.146563753706611,1.5016244645205075,1.450425367362722,1.3611310431428827
2018-02-28,0.8445273631840796,1.0982905982905984,1.5033464817406796,1.4117556071152357,1.2777603372499775
2018-03-31,0.9532146957520091,1.0469649398220828,1.4901556601772914,1.4580046403712297,1.5480984841689835
